metro,city_gu,dong_ri_eup_myeon,base_date,year,priority_protected,converted_deposit,top_priority_amount
경기도,안산시 상록구,,2018-01-26,2018,390000000,38000000,13000000
경기도,용인시 처인구,,2018-01-26,2018,390000000,38000000,13000000
경기도,용인시 수지구,,2018-01-26,2018,390000000,38000000,13000000
경기도,용인시 기흥구,,2018-01-26,2018,390000000,38000000,13000000
경기도,김포시,,2019-04-02,2019,540000000,38000000,13000000
경기도,광주시,,2019-04-02,2019,540000000,38000000,13000000
경기도,안산시 단원구,,2019-04-02,2019,540000000,38000000,13000000
경기도,안산시 상록구,,2019-04-02,2019,540000000,38000000,13000000
경기도,용인시 처인구,,2019-04-02,2019,540000000,38000000,13000000
경기도,용인시 수지구,,2019-04-02,2019,540000000,38000000,13000000
경기도,용인시 기흥구,,2019-04-02,2019,540000000,38000000,13000000
경기도,파주시,,2002-11-01,2002,140000000,25000000,7500000
경기도,화성시,,2002-11-01,2002,140000000,25000000,7500000
경기도,화성시 만세구,,2002-11-01,2002,140000000,25000000,7500000
경기도,화성시 효행구,,2002-11-01,2002,140000000,25000000,7500000
경기도,화성시 병점구,,2002-11-01,2002,140000000,25000000,7500000
경기도,화성시 동탄구,,2002-11-01,2002,140000000,25000000,7500000
경기도,파주시,,2008-08-21,2008,150000000,25000000,7500000
경기도,화성시,,2008-08-21,2008,150000000,25000000,7500000
경기도,화성시 만세구,,2008-08-21,2008,150000000,25000000,7500000
경기도,화성시 효행구,,2008-08-21,2008,150000000,25000000,7500000
경기도,화성시 병점구,,2008-08-21,2008,150000000,25000000,7500000
경기도,화성시 동탄구,,2008-08-21,2008,150000000,25000000,7500000
경기도,파주시,,2010-07-26,2010,150000000,25000000,7500000
경기도,화성시,,2010-07-26,2010,150000000,25000000,7500000
경기도,화성시 만세구,,2010-07-26,2010,150000000,25000000,7500000
경기도,화성시 효행구,,2010-07-26,2010,150000000,25000000,7500000
경기도,화성시 병점구,,2010-07-26,2010,150000000,25000000,7500000
경기도,화성시 동탄구,,2010-07-26,2010,150000000,25000000,7500000
경기도,파주시,,2014-01-01,2014,180000000,30000000,10000000
경기도,화성시,,2014-01-01,2014,180000000,30000000,10000000
경기도,화성시 만세구,,2014-01-01,2014,180000000,30000000,10000000
경기도,화성시 효행구,,2014-01-01,2014,180000000,30000000,10000000
경기도,화성시 병점구,,2014-01-01,2014,180000000,30000000,10000000
경기도,화성시 동탄구,,2014-01-01,2014,180000000,30000000,10000000
경기도,파주시,,2018-01-26,2018,390000000,30000000,10000000
경기도,화성시,,2018-01-26,2018,390000000,30000000,10000000
경기도,화성시 만세구,,2018-01-26,2018,390000000,30000000,10000000
경기도,화성시 효행구,,2018-01-26,2018,390000000,30000000,10000000
경기도,화성시 병점구,,2018-01-26,2018,390000000,30000000,10000000
경기도,화성시 동탄구,,2018-01-26,2018,390000000,30000000,10000000
경기도,파주시,,2019-04-02,2019,540000000,30000000,10000000
경기도,화성시,,2019-04-02,2019,540000000,30000000,10000000
경기도,화성시 만세구,,2019-04-02,2019,540000000,30000000,10000000
경기도,화성시 효행구,,2019-04-02,2019,540000000,30000000,10000000
경기도,화성시 병점구,,2019-04-02,2019,540000000,30000000,10000000
