metro,city_gu,dong_ri_eup_myeon,start_date,end_date,limit_deposit,small_amount
인천광역시,남동구,,2008-08-21,2010-07-25,60000000,20000000
인천광역시,동구,,2008-08-21,2010-07-25,60000000,20000000
인천광역시,계양구,,2010-07-26,2013-12-31,65000000,22000000
인천광역시,미추홀구,,2010-07-26,2013-12-31,65000000,22000000
인천광역시,부평구,,2010-07-26,2013-12-31,65000000,22000000
인천광역시,남동구,,2010-07-26,2013-12-31,65000000,22000000
인천광역시,동구,,2010-07-26,2013-12-31,65000000,22000000
인천광역시,계양구,,2014-01-01,2016-03-30,80000000,27000000
인천광역시,미추홀구,,2014-01-01,2016-03-30,80000000,27000000
인천광역시,부평구,,2014-01-01,2016-03-30,80000000,27000000
인천광역시,남동구,,2014-01-01,2016-03-30,80000000,27000000
인천광역시,동구,,2014-01-01,2016-03-30,80000000,27000000
인천광역시,계양구,,2016-03-31,2018-09-17,80000000,27000000
인천광역시,미추홀구,,2016-03-31,2018-09-17,80000000,27000000
인천광역시,부평구,,2016-03-31,2018-09-17,80000000,27000000
인천광역시,남동구,,2016-03-31,2018-09-17,80000000,27000000
인천광역시,동구,,2016-03-31,2018-09-17,80000000,27000000
인천광역시,계양구,,2018-09-18,2021-05-10,100000000,34000000
인천광역시,미추홀구,,2018-09-18,2021-05-10,100000000,34000000
인천광역시,부평구,,2018-09-18,2021-05-10,100000000,34000000
인천광역시,남동구,,2018-09-18,2021-05-10,100000000,34000000
인천광역시,동구,,2018-09-18,2021-05-10,100000000,34000000
인천광역시,계양구,,2021-05-11,2023-02-20,130000000,43000000
인천광역시,미추홀구,,2021-05-11,2023-02-20,130000000,43000000
인천광역시,부평구,,2021-05-11,2023-02-20,130000000,43000000
인천광역시,남동구,,2021-05-11,2023-02-20,130000000,43000000
인천광역시,동구,,2021-05-11,2023-02-20,130000000,43000000
인천광역시,계양구,,2023-02-21,2026-12-31,145000000,48000000
인천광역시,미추홀구,,2023-02-21,2026-12-31,145000000,48000000
인천광역시,부평구,,2023-02-21,2026-12-31,145000000,48000000
인천광역시,남동구,,2023-02-21,2026-12-31,145000000,48000000
인천광역시,동구,,2023-02-21,2026-12-31,145000000,48000000
인천광역시,서구,가정1동,2001-09-15,2008-08-20,40000000,16000000
인천광역시,서구,가정2동,2001-09-15,2008-08-20,40000000,16000000
인천광역시,서구,석남1동,2001-09-15,2008-08-20,40000000,16000000
인천광역시,서구,석남2동,2001-09-15,2008-08-20,40000000,16000000
인천광역시,서구,석남3동,2001-09-15,2008-08-20,40000000,16000000
인천광역시,서구,경서동,2001-09-15,2008-08-20,40000000,16000000
인천광역시,서구,가정동,2001-09-15,2008-08-20,40000000,16000000
인천광역시,서구,석남동,2001-09-15,2008-08-20,40000000,16000000
인천광역시,서구,가정1동,2008-08-21,2010-07-25,60000000,20000000
인천광역시,서구,가정2동,2008-08-21,2010-07-25,60000000,20000000
인천광역시,서구,석남1동,2008-08-21,2010-07-25,60000000,20000000
인천광역시,서구,석남2동,2008-08-21,2010-07-25,60000000,20000000
인천광역시,서구,석남3동,2008-08-21,2010-07-25,60000000,20000000
인천광역시,서구,경서동,2008-08-21,2010-07-25,60000000,20000000
인천광역시,서구,가정동,2008-08-21,2010-07-25,60000000,20000000
인천광역시,서구,석남동,2008-08-21,2010-07-25,60000000,20000000
인천광역시,서구,가정1동,2010-07-26,2013-12-31,65000000,22000000
인천광역시,서구,가정2동,2010-07-26,2013-12-31,65000000,22000000
인천광역시,서구,석남1동,2010-07-26,2013-12-31,65000000,22000000
인천광역시,서구,석남2동,2010-07-26,2013-12-31,65000000,22000000
인천광역시,서구,석남3동,2010-07-26,2013-12-31,65000000,22000000
인천광역시,서구,경서동,2010-07-26,2013-12-31,65000000,22000000
인천광역시,서구,가정동,2010-07-26,2013-12-31,65000000,22000000
인천광역시,서구,석남동,2010-07-26,2013-12-31,65000000,22000000
인천광역시,서구,가정1동,2014-01-01,2016-03-30,80000000,27000000
인천광역시,서구,가정2동,2014-01-01,2016-03-30,80000000,27000000
인천광역시,서구,석남1동,2014-01-01,2016-03-30,80000000,27000000
인천광역시,서구,석남2동,2014-01-01,2016-03-30,80000000,27000000
인천광역시,서구,석남3동,2014-01-01,2016-03-30,80000000,27000000
인천광역시,서구,경서동,2014-01-01,2016-03-30,80000000,27000000
인천광역시,서구,가정동,2014-01-01,2016-03-30,80000000,27000000
인천광역시,서구,석남동,2014-01-01,2016-03-30,80000000,27000000
인천광역시,서구,가정1동,2016-03-31,2018-09-17,80000000,27000000
인천광역시,서구,가정2동,2016-03-31,2018-09-17,80000000,27000000
인천광역시,서구,석남1동,2016-03-31,2018-09-17,80000000,27000000
인천광역시,서구,석남2동,2016-03-31,2018-09-17,80000000,27000000
인천광역시,서구,석남3동,2016-03-31,2018-09-17,80000000,27000000
인천광역시,서구,경서동,2016-03-31,2018-09-17,80000000,27000000
인천광역시,서구,가정동,2016-03-31,2018-09-17,80000000,27000000
인천광역시,서구,석남동,2016-03-31,2018-09-17,80000000,27000000
인천광역시,서구,가정1동,2018-09-18,2021-05-10,100000000,34000000
인천광역시,서구,가정2동,2018-09-18,2021-05-10,100000000,34000000
인천광역시,서구,석남1동,2018-09-18,2021-05-10,100000000,34000000
인천광역시,서구,석남2동,2018-09-18,2021-05-10,100000000,34000000
인천광역시,서구,석남3동,2018-09-18,2021-05-10,100000000,34000000
인천광역시,서구,경서동,2018-09-18,2021-05-10,100000000,34000000
인천광역시,서구,가정동,2018-09-18,2021-05-10,100000000,34000000
인천광역시,서구,석남동,2018-09-18,2021-05-10,100000000,34000000
인천광역시,서구,가정1동,2021-05-11,2023-02-20,130000000,43000000
인천광역시,서구,가정2동,2021-05-11,2023-02-20,130000000,43000000
인천광역시,서구,석남1동,2021-05-11,2023-02-20,130000000,43000000
인천광역시,서구,석남2동,2021-05-11,2023-02-20,130000000,43000000
인천광역시,서구,석남3동,2021-05-11,2023-02-20,130000000,43000000
인천광역시,서구,경서동,2021-05-11,2023-02-20,130000000,43000000
인천광역시,서구,가정동,2021-05-11,2023-02-20,130000000,43000000
인천광역시,서구,석남동,2021-05-11,2023-02-20,130000000,43000000
인천광역시,서구,가정1동,2023-02-21,2026-12-31,145000000,48000000
인천광역시,서구,가정2동,2023-02-21,2026-12-31,145000000,48000000
인천광역시,서구,석남1동,2023-02-21,2026-12-31,145000000,48000000
인천광역시,서구,석남2동,2023-02-21,2026-12-31,145000000,48000000
인천광역시,서구,석남3동,2023-02-21,2026-12-31,145000000,48000000
인천광역시,서구,경서동,2023-02-21,2026-12-31,145000000,48000000
인천광역시,서구,가정동,2023-02-21,2026-12-31,145000000,48000000
인천광역시,서구,석남동,2023-02-21,2026-12-31,145000000,48000000
인천광역시,서구,대곡동,2001-09-15,2008-08-20,30000000,12000000
인천광역시,서구,불로동,2001-09-15,2008-08-20,30000000,12000000
인천광역시,서구,마전동,2001-09-15,2008-08-20,30000000,12000000
인천광역시,서구,금곡동,2001-09-15,2008-08-20,30000000,12000000
인천광역시,서구,오류동,2001-09-15,2008-08-20,30000000,12000000
인천광역시,서구,왕길동,2001-09-15,2008-08-20,30000000,12000000
인천광역시,서구,당하동,2001-09-15,2008-08-20,30000000,12000000
인천광역시,서구,원당동,2001-09-15,2008-08-20,30000000,12000000
인천광역시,서구,청라1동,2001-09-15,2008-08-20,30000000,12000000
인천광역시,서구,청라2동,2001-09-15,2008-08-20,30000000,12000000
인천광역시,서구,청라3동,2001-09-15,2008-08-20,30000000,12000000
